job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
0,8,0,10956,gpt2,4,5095000,91000,437,0.6,419,49,0
1,8,1534000,1463,vgg16,16,281000,28000,214,82,75,66,1
2,8,6812000,464903,a2c,64,255697000,10000,555,502,14,0.4,0
3,8,6836000,841802,vgg19,16,165835000,15000,226,82,88,60,0
4,8,6865000,145492,vgg19,16,28662000,28000,226,82,88,60,0
5,8,6942000,1068026,vgg16,16,205061000,3000,214,82,75,66,0
6,8,6964000,444860,gpt2,4,206860000,5000,437,0.6,419,49,1
7,8,6990000,375525,a2c,64,206539000,1000,555,502,14,0.4,1
8,8,7043000,205080,resnet18,128,193391000,18000,1010,784,117,77,1
9,8,7065000,316604,vgg19,16,62371000,22000,226,82,88,60,0
10,8,7089000,86075,dqn,128,43296000,10000,509,435,8,0.5,1
11,8,7371000,834,gpt2,4,388000,4000,437,0.6,419,49,0
12,32,8552000,164765,vgg16,16,52066000,36000,336,87,67,131,1
13,32,8576000,290298,a2c,64,166341000,8000,585,507,14,2,0
14,8,14177000,17994,vgg19,16,3545000,78000,226,82,88,60,1
15,8,14194000,8192,vgg19,16,1614000,17000,226,82,88,60,0
16,8,16116000,40597,shufflenet_v2_x1_0,128,37147000,7000,957,769,57,10,0
17,8,16122000,57857,shufflenet_v2_x1_0,128,52940000,6000,957,769,57,10,1
18,8,16128000,344482,vgg19,16,67863000,6000,226,82,88,60,0
19,8,16180000,288339,resnet18,128,271904000,52000,1010,784,117,77,0
20,8,16189000,95445,dqn,128,48009000,9000,509,435,8,0.5,0
21,8,16194000,217372,bert,4,53691000,5000,192,0.5,167,59,0
22,8,16200000,202926,shufflenet_v2_x1_0,128,185678000,6000,957,769,57,10,1
23,8,16255000,260970,shufflenet_v2_x1_0,128,238788000,55000,957,769,57,10,1
24,8,16261000,43460,resnet18,128,40983000,6000,1010,784,117,77,0
25,8,16266000,43000,resnet18,128,40549000,5000,1010,784,117,77,0
26,8,16357000,65,resnet18,128,62000,64000,1010,784,117,77,1
27,8,16395000,1230,resnet18,128,1160000,38000,1010,784,117,77,0
28,8,16424000,392,a2c,64,216000,29000,555,502,14,0.4,0
29,8,16505000,3177,resnet18,128,2996000,81000,1010,784,117,77,1
30,8,16519000,463,dqn,128,233000,14000,509,435,8,0.5,1
31,8,18495000,29,a2c,64,16000,572000,555,502,14,0.4,0
32,8,20893000,4166,resnet18,128,3929000,584000,1010,784,117,77,0
33,8,20909000,294,a2c,64,162000,16000,555,502,14,0.4,0
34,8,98995000,9521,a2c,64,5237000,86000,555,502,14,0.4,1
35,1,107845000,7447,shufflenet_v2_x1_0,128,5794000,535000,798,706,59,0,0
36,8,172977000,1645,a2c,64,905000,268000,555,502,14,0.4,0
37,8,198914000,1822,vgg19,16,359000,259000,226,82,88,60,1
38,8,229238000,369612,a2c,64,203287000,116000,555,502,14,0.4,1
39,8,261601000,2817,vgg19,16,555000,94000,226,82,88,60,0
40,8,263615000,41697,vgg16,16,8006000,17000,214,82,75,66,0
41,32,271083000,189465,a2c,64,108564000,17000,585,507,14,2,0
42,32,271106000,96478,gpt2,4,52774000,19000,514,0.7,414,216,0
43,32,271128000,299367,resnet18,128,58676000,9000,1059,103,17,13,1
44,8,271995000,927,shufflenet_v2_x1_0,128,849000,1000,957,769,57,10,1
45,1,274404000,176,resnet18,128,132000,25000,779,711,110,0,0
46,1,275116000,58,resnet18,128,44000,409000,779,711,110,0,1
47,1,275456000,108,dqn,128,53000,149000,490,446,8,0,1
48,1,276306000,343,resnet18,128,257000,41000,779,711,110,0,0
49,1,277329000,12568,vgg16,16,1659000,222000,107,117,68,0,0
50,4,278218000,875,dqn,128,449000,503000,505,440,8,0.4,0
51,1,278883000,1240,a2c,64,660000,254000,517,514,14,0,0
52,1,278981000,6295,vgg16,16,831000,74000,107,117,68,0,1
53,4,278991000,1524,a2c,64,828000,10000,533,502,10,0.3,1
54,4,284538000,35,shufflenet_v2_x1_0,128,32000,21000,886,703,62,17,1
55,4,285073000,807,vgg16,16,155000,100000,201,82,72,67,1
56,4,285426000,1002,gpt2,4,459000,353000,433,0.6,413,20,0
57,8,306367000,223492,shufflenet_v2_x1_0,128,204496000,326000,957,769,57,10,1
58,8,306372000,402554,dqn,128,202485000,5000,509,435,8,0.5,0
59,8,306412000,1018630,vgg16,16,195577000,40000,214,82,75,66,0
60,8,306415000,981761,bert,4,242495000,3000,192,0.5,167,59,1
61,8,306419000,420612,a2c,64,231337000,4000,555,502,14,0.4,0
62,8,511186000,868,dqn,128,437000,78000,509,435,8,0.5,1
63,8,511580000,666,gpt2,4,310000,394000,437,0.6,419,49,0
64,8,516916000,4472,vgg19,16,881000,30000,226,82,88,60,0
65,8,517074000,749,resnet18,128,707000,158000,1010,784,117,77,1
66,8,518612000,2703,vgg16,16,519000,305000,214,82,75,66,0
67,8,531683000,2578,bert,4,637000,175000,192,0.5,167,59,0
68,8,531765000,770,vgg16,16,148000,82000,214,82,75,66,1
69,8,531836000,103,dqn,128,52000,71000,509,435,8,0.5,1
70,8,531865000,105,dqn,128,53000,29000,509,435,8,0.5,1
71,8,532174000,293760,a2c,64,161568000,67000,555,502,14,0.4,1
72,8,532196000,175063,resnet18,128,165085000,22000,1010,784,117,77,0
73,8,532218000,180184,resnet18,128,169914000,22000,1010,784,117,77,1
74,8,532239000,175264,resnet18,128,165274000,21000,1010,784,117,77,0
75,8,532277000,355946,gpt2,4,165515000,38000,437,0.6,419,49,1
76,4,534997000,198,dqn,128,102000,489000,505,440,8,0.4,1
77,4,535115000,156,vgg16,16,30000,8000,201,82,72,67,0
78,4,535264000,26,resnet18,128,23000,149000,921,723,113,73,1
79,4,536141000,45,gpt2,4,21000,434000,433,0.6,413,20,0
80,4,536312000,58,gpt2,4,27000,5000,433,0.6,413,20,0
81,32,536346000,150988,vgg19,16,50430000,34000,356,89,79,141,0
82,32,536369000,82649,a2c,64,47358000,23000,585,507,14,2,0
83,32,536391000,50763,shufflenet_v2_x1_0,128,51170000,22000,1019,799,56,24,0
84,4,536927000,99,bert,4,23000,20000,190,0.5,163,18,1
85,4,537357000,111,vgg19,16,23000,430000,212,84,85,73,1
86,4,537575000,337,resnet18,128,296000,68000,921,723,113,73,0
87,4,538440000,99,shufflenet_v2_x1_0,128,89000,333000,886,703,62,17,1
88,8,538751000,581,a2c,64,320000,44000,555,502,14,0.4,0
89,8,539066000,7791,vgg16,16,1496000,315000,214,82,75,66,0
90,8,540781000,226,dqn,128,114000,274000,509,435,8,0.5,0
91,8,540893000,106,vgg19,16,21000,112000,226,82,88,60,0
92,8,541129000,1488,resnet18,128,1404000,22000,1010,784,117,77,1
93,8,543129000,2225,a2c,64,1224000,218000,555,502,14,0.4,1
94,8,543696000,4263,bert,4,1053000,188000,192,0.5,167,59,1
95,8,545260000,1965,gpt2,4,914000,64000,437,0.6,419,49,0
96,8,545978000,7072,vgg16,16,1358000,71000,214,82,75,66,0
97,8,546126000,1003,resnet18,128,946000,148000,1010,784,117,77,0
98,8,546543000,524,gpt2,4,244000,36000,437,0.6,419,49,0
99,8,546799000,2394,shufflenet_v2_x1_0,128,2191000,184000,957,769,57,10,0
100,8,546929000,5052,bert,4,1248000,130000,192,0.5,167,59,1
101,8,555003000,1077,resnet18,128,1016000,54000,1010,784,117,77,0
102,4,556052000,70407,dqn,128,36119000,1000,505,440,8,0.4,1
103,8,557488000,34,resnet18,128,33000,180000,1010,784,117,77,1
104,8,557804000,1651,bert,4,408000,71000,192,0.5,167,59,0
105,8,558290000,149,resnet18,128,141000,383000,1010,784,117,77,0
106,8,560437000,972,resnet18,128,917000,130000,1010,784,117,77,0
107,8,561547000,4234,bert,4,1046000,40000,192,0.5,167,59,1
108,8,567385000,168,dqn,128,85000,171000,509,435,8,0.5,0
109,8,575385000,396,a2c,64,218000,78000,555,502,14,0.4,0
110,8,575790000,429,a2c,64,236000,181000,555,502,14,0.4,1
111,8,576218000,2169,gpt2,4,1009000,311000,437,0.6,419,49,0
112,32,608019000,201790,bert,4,54887000,312000,260,0.5,166,133,1
113,32,608040000,46571,shufflenet_v2_x1_0,128,46944000,21000,1019,799,56,24,0
114,32,608063000,87579,gpt2,4,47906000,23000,514,0.7,414,216,1
115,32,608085000,112282,a2c,64,64338000,22000,585,507,14,2,1
116,32,608107000,88429,gpt2,4,48371000,22000,514,0.7,414,216,1
117,8,615124000,127,dqn,128,64000,175000,509,435,8,0.5,1
118,8,615287000,156,a2c,64,86000,163000,555,502,14,0.4,1
