job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
0,4,0,4881447,bert,4,927475000,11174000,190,0.5,163,18,1
1,4,1456000,4368551,vgg19,16,926133000,1456000,212,84,85,73,0
2,4,352430000,3027205,bert,4,575169000,603000,190,0.5,163,18,1
3,4,352712000,1946376,gpt2,4,842781000,282000,433,0.6,413,20,1
4,8,512036000,2602,vgg16,16,557000,4000,214,82,75,66,0
5,8,512614000,22130,bert,4,4249000,5000,192,0.5,167,59,1
6,8,517969000,18615,vgg19,16,4207000,137000,226,82,88,60,0
7,8,533527000,17960,vgg19,16,4059000,249000,226,82,88,60,0
8,8,542432000,18194,vgg19,16,4112000,146000,226,82,88,60,1
9,8,587545000,3212,vgg19,16,726000,77000,226,82,88,60,1
10,8,589714000,7190,vgg19,16,1625000,36000,226,82,88,60,1
11,8,665494000,2075,gpt2,4,907000,216000,437,0.6,419,49,1
12,8,665621000,18177,bert,4,3490000,127000,192,0.5,167,59,1
13,8,665969000,22544,vgg19,16,5095000,91000,226,82,88,60,0
14,8,667503000,1243,vgg19,16,281000,28000,226,82,88,60,1
15,8,672781000,1194845,vgg16,16,255697000,10000,214,82,75,66,1
16,8,672805000,774929,vgg16,16,165835000,15000,214,82,75,66,1
17,8,672834000,126823,vgg19,16,28662000,28000,226,82,88,60,1
18,8,672911000,469247,gpt2,4,205061000,3000,437,0.6,419,49,0
19,8,672933000,1077395,bert,4,206860000,5000,192,0.5,167,59,0
20,8,672959000,1075723,bert,4,206539000,1000,192,0.5,167,59,0
21,8,673012000,903696,vgg16,16,193391000,18000,214,82,75,66,1
22,8,673034000,275977,vgg19,16,62371000,22000,226,82,88,60,1
23,8,673058000,99075,gpt2,4,43296000,10000,437,0.6,419,49,0
24,8,673340000,887,gpt2,4,388000,4000,437,0.6,419,49,1
25,32,674521000,154958,vgg16,16,52066000,36000,336,87,67,131,0
26,32,674545000,323620,gpt2,4,166341000,8000,514,0.7,414,216,0
27,8,680146000,18463,bert,4,3545000,78000,192,0.5,167,59,0
28,8,680163000,7542,vgg16,16,1614000,17000,214,82,75,66,0
29,8,682085000,85004,gpt2,4,37147000,7000,437,0.6,419,49,1
30,8,682091000,121144,gpt2,4,52940000,6000,437,0.6,419,49,0
31,8,682097000,353453,bert,4,67863000,6000,192,0.5,167,59,1
32,8,682149000,1270579,vgg16,16,271904000,52000,214,82,75,66,0
33,8,682158000,250046,bert,4,48009000,9000,192,0.5,167,59,0
34,8,682163000,250892,vgg16,16,53691000,5000,214,82,75,66,0
35,8,682169000,867654,vgg16,16,185678000,6000,214,82,75,66,1
36,8,682224000,1115831,vgg16,16,238788000,55000,214,82,75,66,1
37,8,682230000,93782,gpt2,4,40983000,6000,437,0.6,419,49,1
38,8,682235000,189481,vgg16,16,40549000,5000,214,82,75,66,1
39,8,682326000,141,gpt2,4,62000,64000,437,0.6,419,49,0
40,8,682364000,5132,vgg19,16,1160000,38000,226,82,88,60,1
41,8,682393000,1009,vgg16,16,216000,29000,214,82,75,66,1
42,8,682474000,13256,vgg19,16,2996000,81000,226,82,88,60,1
43,8,682488000,1213,bert,4,233000,14000,192,0.5,167,59,0
44,8,684464000,74,vgg16,16,16000,572000,214,82,75,66,1
45,8,686862000,20463,bert,4,3929000,584000,192,0.5,167,59,1
46,8,686878000,716,vgg19,16,162000,16000,226,82,88,60,0
47,8,764964000,23172,vgg19,16,5237000,86000,226,82,88,60,1
48,1,773814000,13600,gpt2,4,5794000,535000,426,0.6,410,0,0
49,8,838946000,4228,vgg16,16,905000,268000,214,82,75,66,0
50,8,864883000,1677,vgg16,16,359000,259000,214,82,75,66,0
51,8,895207000,949939,vgg16,16,203287000,116000,214,82,75,66,1
52,8,927570000,2455,vgg19,16,555000,94000,226,82,88,60,0
53,8,929584000,35424,vgg19,16,8006000,17000,226,82,88,60,0
54,32,937052000,323107,vgg16,16,108564000,17000,336,87,67,131,1
55,32,937075000,202976,bert,4,52774000,19000,260,0.5,166,133,0
56,32,937097000,164820,vgg19,16,58676000,9000,356,89,79,141,1
57,8,937964000,1942,gpt2,4,849000,1000,437,0.6,419,49,1
58,1,940373000,309,gpt2,4,132000,25000,426,0.6,410,0,0
59,1,941085000,103,gpt2,4,44000,409000,426,0.6,410,0,0
60,1,941425000,297,bert,4,53000,149000,178,0.5,160,0,0
61,1,942275000,1443,bert,4,257000,41000,178,0.5,160,0,1
62,1,943298000,15504,vgg16,16,1659000,222000,107,117,68,0,0
63,4,944187000,2363,bert,4,449000,503000,190,0.5,163,18,1
64,1,944852000,6168,vgg16,16,660000,254000,107,117,68,0,1
65,1,944950000,1950,gpt2,4,831000,74000,426,0.6,410,0,0
66,4,944960000,4119,vgg16,16,828000,10000,201,82,72,67,1
67,4,950507000,168,bert,4,32000,21000,190,0.5,163,18,1
68,4,951042000,771,vgg16,16,155000,100000,201,82,72,67,1
69,4,951395000,2165,vgg19,16,459000,353000,212,84,85,73,1
70,8,972336000,1065083,bert,4,204496000,326000,192,0.5,167,59,1
71,8,972341000,463352,gpt2,4,202485000,5000,437,0.6,419,49,1
72,8,972381000,447544,gpt2,4,195577000,40000,437,0.6,419,49,1
73,8,972384000,1262994,bert,4,242495000,3000,192,0.5,167,59,0
74,8,972388000,1204880,bert,4,231337000,4000,192,0.5,167,59,1
75,8,1177155000,1000,gpt2,4,437000,78000,437,0.6,419,49,0
76,8,1177549000,1371,vgg19,16,310000,394000,226,82,88,60,1
77,8,1182885000,4588,bert,4,881000,30000,192,0.5,167,59,1
78,8,1183043000,3303,vgg16,16,707000,158000,214,82,75,66,1
79,8,1184581000,2703,bert,4,519000,305000,192,0.5,167,59,1
80,8,1197652000,2976,vgg16,16,637000,175000,214,82,75,66,0
81,8,1197734000,691,vgg16,16,148000,82000,214,82,75,66,0
82,8,1197805000,230,vgg19,16,52000,71000,226,82,88,60,0
83,8,1197834000,276,bert,4,53000,29000,192,0.5,167,59,1
84,8,1198143000,841500,bert,4,161568000,67000,192,0.5,167,59,1
85,8,1198165000,859817,bert,4,165085000,22000,192,0.5,167,59,1
86,8,1198187000,884968,bert,4,169914000,22000,192,0.5,167,59,0
87,8,1198208000,860802,bert,4,165274000,21000,192,0.5,167,59,0
88,8,1198246000,862057,bert,4,165515000,38000,192,0.5,167,59,1
89,4,1200966000,481,vgg19,16,102000,489000,212,84,85,73,1
90,4,1201084000,157,bert,4,30000,8000,190,0.5,163,18,1
91,4,1201233000,121,bert,4,23000,149000,190,0.5,163,18,0
92,4,1202110000,104,vgg16,16,21000,434000,201,82,72,67,1
93,4,1202281000,127,vgg19,16,27000,5000,212,84,85,73,0
94,32,1202315000,141657,vgg19,16,50430000,34000,356,89,79,141,1
95,32,1202338000,140946,vgg16,16,47358000,23000,336,87,67,131,1
96,32,1202360000,196807,bert,4,51170000,22000,260,0.5,166,133,0
97,4,1202896000,121,bert,4,23000,20000,190,0.5,163,18,1
98,4,1203326000,114,vgg16,16,23000,430000,201,82,72,67,0
99,4,1203544000,1557,bert,4,296000,68000,190,0.5,163,18,0
100,4,1204409000,419,vgg19,16,89000,333000,212,84,85,73,1
101,8,1204720000,1495,vgg16,16,320000,44000,214,82,75,66,1
102,8,1205035000,6619,vgg19,16,1496000,315000,226,82,88,60,1
103,8,1206750000,593,bert,4,114000,274000,192,0.5,167,59,1
104,8,1206862000,92,vgg19,16,21000,112000,226,82,88,60,1
105,8,1207098000,6560,vgg16,16,1404000,22000,214,82,75,66,0
106,8,1209098000,5415,vgg19,16,1224000,218000,226,82,88,60,1
107,8,1209665000,5484,bert,4,1053000,188000,192,0.5,167,59,1
108,8,1211229000,4760,bert,4,914000,64000,192,0.5,167,59,0
109,8,1211947000,6008,vgg19,16,1358000,71000,226,82,88,60,1
110,8,1212095000,2164,gpt2,4,946000,148000,437,0.6,419,49,1
111,8,1212512000,1140,vgg16,16,244000,36000,214,82,75,66,0
112,8,1212768000,5013,gpt2,4,2191000,184000,437,0.6,419,49,1
113,8,1212898000,5522,vgg19,16,1248000,130000,226,82,88,60,0
114,8,1220972000,2324,gpt2,4,1016000,54000,437,0.6,419,49,0
115,4,1222021000,83415,gpt2,4,36119000,1000,433,0.6,413,20,1
116,8,1223457000,75,gpt2,4,33000,180000,437,0.6,419,49,1
117,8,1223773000,2125,bert,4,408000,71000,192,0.5,167,59,0
118,8,1224259000,658,vgg16,16,141000,383000,214,82,75,66,0
119,8,1226406000,4057,vgg19,16,917000,130000,226,82,88,60,1
120,8,1227516000,4887,vgg16,16,1046000,40000,214,82,75,66,0
121,8,1233354000,397,vgg16,16,85000,171000,214,82,75,66,1
122,8,1241354000,1135,bert,4,218000,78000,192,0.5,167,59,0
123,8,1241759000,1044,vgg19,16,236000,181000,226,82,88,60,0
124,8,1242187000,2308,gpt2,4,1009000,311000,437,0.6,419,49,1
125,32,1273988000,154176,vgg19,16,54887000,312000,356,89,79,141,1
126,32,1274009000,180553,bert,4,46944000,21000,260,0.5,166,133,1
127,32,1274032000,93202,gpt2,4,47906000,23000,514,0.7,414,216,1
128,32,1274054000,247453,bert,4,64338000,22000,260,0.5,166,133,1
129,32,1274076000,135873,vgg19,16,48371000,22000,356,89,79,141,0
130,8,1281093000,299,vgg16,16,64000,175000,214,82,75,66,0
131,8,1281256000,447,bert,4,86000,163000,192,0.5,167,59,0
132,8,1281873000,123,gpt2,4,54000,89000,437,0.6,419,49,1
133,8,1281986000,3938,vgg19,16,890000,113000,226,82,88,60,1
134,8,1282004000,615,vgg19,16,139000,18000,226,82,88,60,1
135,8,1282362000,610,vgg19,16,138000,149000,226,82,88,60,1
136,8,1283736000,2168,vgg19,16,490000,160000,226,82,88,60,1
137,8,1285307000,4098,vgg16,16,877000,231000,214,82,75,66,0
138,8,1286302000,2247,vgg16,16,481000,26000,214,82,75,66,1
139,8,1286890000,4645,bert,4,892000,14000,192,0.5,167,59,1
140,8,1287468000,5348,bert,4,1027000,578000,192,0.5,167,59,0
141,8,1288816000,9878,vgg16,16,2114000,140000,214,82,75,66,0
142,8,1290844000,2027,gpt2,4,886000,368000,437,0.6,419,49,0
143,8,1291999000,376,vgg19,16,85000,323000,226,82,88,60,0
