job_id,num_gpu,submit_time,iterations,model_name,batch_size,duration,interval,iteration_time,resource_time_0,resource_time_1,resource_time_2,priority
0,1,0,5853661,dqn,128,2868294000,46122000,490,446,8,0,1
1,8,201694000,8787693,dqn,128,4472936000,201694000,509,435,8,0.5,0
2,8,724670000,20901556,vgg16,16,4472933000,197456000,214,82,75,66,0
3,1,945683000,3682024,resnet18,128,2868297000,4190000,779,711,110,0,1
4,1,966542000,25736495,vgg16,16,2753805000,20859000,107,117,68,0,0
5,1,1245115000,6435107,gpt2,4,2741356000,23165000,426,0.6,410,0,1
6,1,1245337000,3518766,resnet18,128,2741119000,222000,779,711,110,0,0
7,1,1245348000,3518766,resnet18,128,2741119000,11000,779,711,110,0,0
8,1,1245386000,5301922,a2c,64,2741094000,38000,517,514,14,0,0
9,8,1429823000,10468336,vgg16,16,2240224000,184437000,214,82,75,66,0
10,1,1639747000,21930289,vgg16,16,2346541000,6295000,107,117,68,0,1
11,1,1714609000,12763286,bert,4,2271865000,26224000,178,0.5,160,0,1
12,1,1943248000,3985516,a2c,64,2060512000,6380000,517,514,14,0,1
13,1,1943781000,2644385,resnet18,128,2059976000,533000,779,711,110,0,0
14,1,1943786000,18898834,vgg19,16,2059973000,5000,109,114,80,0,0
15,1,1943792000,19252018,vgg16,16,2059966000,6000,107,117,68,0,0
16,1,1943802000,18898706,vgg19,16,2059959000,10000,109,114,80,0,0
17,1,1943808000,18898688,vgg19,16,2059957000,6000,109,114,80,0,1
18,1,1943813000,19251906,vgg16,16,2059954000,5000,107,117,68,0,0
19,1,1943819000,16200155,vgg19,16,1765817000,6000,109,114,80,0,1
20,1,1943835000,18898532,vgg19,16,2059940000,16000,109,114,80,0,0
21,1,1943846000,2644332,resnet18,128,2059935000,11000,779,711,110,0,0
22,1,1943851000,4835521,gpt2,4,2059932000,5000,426,0.6,410,0,0
23,1,1943861000,4203930,dqn,128,2059926000,10000,490,446,8,0,1
24,1,1943873000,18898302,vgg19,16,2059915000,12000,109,114,80,0,1
25,1,1943885000,3983990,a2c,64,2059723000,12000,517,514,14,0,0
26,1,1943901000,3984330,a2c,64,2059899000,16000,517,514,14,0,0
27,1,1943907000,11572421,bert,4,2059891000,6000,178,0.5,160,0,0
28,1,1943923000,4835403,gpt2,4,2059882000,16000,426,0.6,410,0,1
29,1,1943927000,4203844,dqn,128,2059884000,4000,490,446,8,0,1
30,1,1943932000,3916420,dqn,128,1919046000,5000,490,446,8,0,0
31,1,1943937000,4835389,gpt2,4,2059876000,5000,426,0.6,410,0,1
32,1,1943942000,4203822,dqn,128,2059873000,5000,490,446,8,0,1
33,1,1943947000,27904045,vgg19,16,3041541000,5000,109,114,80,0,0
34,1,1943953000,11572252,bert,4,2059861000,6000,178,0.5,160,0,1
35,1,1943959000,19251009,vgg16,16,2059858000,6000,107,117,68,0,0
36,1,1943965000,19250981,vgg16,16,2059855000,6000,107,117,68,0,1
37,1,1943971000,11572202,bert,4,2059852000,6000,178,0.5,160,0,1
38,1,1945158000,18725000,vgg19,16,2041025000,1187000,109,114,80,0,0
39,1,1945383000,3809755,shufflenet_v2_x1_0,128,3040185000,225000,798,706,59,0,1
40,1,1945403000,11465078,bert,4,2040784000,20000,178,0.5,160,0,1
41,1,1945408000,2557145,shufflenet_v2_x1_0,128,2040602000,5000,798,706,59,0,1
42,1,1945418000,11465915,bert,4,2040933000,10000,178,0.5,160,0,0
43,1,1945454000,10844758,bert,4,1930367000,36000,178,0.5,160,0,1
44,1,1945464000,4790856,gpt2,4,2040905000,10000,426,0.6,410,0,1
45,1,1945474000,2619675,resnet18,128,2040727000,10000,779,711,110,0,0
46,1,1945483000,3289116,a2c,64,1700473000,9000,517,514,14,0,1
47,1,1945499000,4164702,dqn,128,2040704000,16000,490,446,8,0,0
48,1,1945503000,3947197,a2c,64,2040701000,4000,517,514,14,0,0
49,1,1945509000,4165026,dqn,128,2040863000,6000,490,446,8,0,1
50,1,1945514000,2557259,shufflenet_v2_x1_0,128,2040693000,5000,798,706,59,0,1
51,1,1945520000,2619627,resnet18,128,2040690000,6000,779,711,110,0,0
52,1,1945545000,2557431,shufflenet_v2_x1_0,128,2040830000,25000,798,706,59,0,1
53,1,1945550000,4164951,dqn,128,2040826000,5000,490,446,8,0,0
54,1,1945555000,4164608,dqn,128,2040658000,5000,490,446,8,0,0
55,8,2094682000,3213738,a2c,64,1783625000,149127000,555,502,14,0.4,1
56,1,2323019000,9440792,bert,4,1680461000,6694000,178,0.5,160,0,0
57,1,2324998000,3204911,a2c,64,1656939000,1979000,517,514,14,0,0
58,1,2326954000,3891011,gpt2,4,1657571000,1578000,426,0.6,410,0,0
59,1,2326970000,3209286,a2c,64,1659201000,16000,517,514,14,0,0
60,1,2341107000,1550344,resnet18,128,1207718000,705000,779,711,110,0,1
61,1,2341194000,3412459,resnet18,128,2658306000,87000,779,711,110,0,1
62,1,2341233000,2083398,shufflenet_v2_x1_0,128,1662552000,39000,798,706,59,0,1
63,1,2341283000,3861262,gpt2,4,1644898000,50000,426,0.6,410,0,0
64,1,2341345000,15373242,vgg16,16,1644937000,62000,107,117,68,0,0
65,1,2345983000,3041647,gpt2,4,1295742000,3584000,426,0.6,410,0,0
66,1,2348780000,3843683,gpt2,4,1637409000,2797000,426,0.6,410,0,0
67,1,2352468000,9178168,bert,4,1633714000,3688000,178,0.5,160,0,1
68,1,2353317000,3833225,gpt2,4,1632954000,849000,426,0.6,410,0,1
69,1,2353391000,15261775,vgg16,16,1633010000,74000,107,117,68,0,0
70,1,2353402000,15259682,vgg16,16,1632786000,11000,107,117,68,0,0
71,1,2353425000,9271421,bert,4,1650313000,23000,178,0.5,160,0,0
72,1,2353435000,3191555,a2c,64,1650034000,10000,517,514,14,0,0
73,1,2353463000,9270202,bert,4,1650096000,28000,178,0.5,160,0,0
74,1,2353471000,2067540,shufflenet_v2_x1_0,128,1649897000,8000,798,706,59,0,1
75,1,2353483000,3367712,dqn,128,1650179000,12000,490,446,8,0,0
76,1,2353494000,2067805,shufflenet_v2_x1_0,128,1650109000,11000,798,706,59,0,1
77,1,2353516000,2068010,shufflenet_v2_x1_0,128,1650272000,22000,798,706,59,0,1
78,1,2353524000,9269067,bert,4,1649894000,8000,178,0.5,160,0,0
79,1,2353535000,15138944,vgg19,16,1650145000,11000,109,114,80,0,0
80,1,2353564000,2045758,shufflenet_v2_x1_0,128,1632515000,29000,798,706,59,0,1
81,1,2353630000,14977522,vgg19,16,1632550000,66000,109,114,80,0,1
82,1,2353661000,3157193,a2c,64,1632269000,31000,517,514,14,0,0
83,1,2353718000,2067715,shufflenet_v2_x1_0,128,1650037000,57000,798,706,59,0,0
84,1,2354619000,2094446,resnet18,128,1631574000,575000,779,711,110,0,1
85,1,2357366000,3149916,a2c,64,1628507000,1895000,517,514,14,0,1
86,1,2372731000,3121489,a2c,64,1613810000,15365000,517,514,14,0,0
87,1,2372737000,15082831,vgg16,16,1613863000,6000,107,117,68,0,0
88,1,2372744000,14806100,vgg19,16,1613865000,7000,109,114,80,0,1
89,1,2372749000,9066634,bert,4,1613861000,5000,178,0.5,160,0,0
90,1,2372756000,15082766,vgg16,16,1613856000,7000,107,117,68,0,0
